Date;Open;High;Low;Close
2010-01-07;967.390015;970.260010;962.270020;965.820007
2010-01-08;965.700012;974.900024;965.700012;973.440002
2010-01-11;973.150024;985.690002;973.150024;978.179993
2010-01-12;978.239990;981.080017;967.489990;969.549988
2010-01-13;969.489990;974.960022;964.349976;974.960022
2010-01-14;975.609985;984.650024;975.609985;981.500000
2010-01-15;982.099976;986.000000;968.500000;970.650024
2010-01-18;970.409973;975.830017;968.760010;974.049988
2010-01-19;973.580017;977.830017;960.650024;976.000000
2010-01-20;976.059998;976.789978;957.159973;957.530029
2010-01-21;958.190002;968.059998;951.489990;954.020020
2010-01-22;954.309998;957.570007;943.609985;951.059998
2010-01-25;948.809998;956.179993;940.210022;947.559998
2010-01-26;945.840027;945.840027;935.659973;942.940002
2010-01-27;943.179993;954.020020;934.659973;946.700012
2010-01-28;947.179993;965.090027;935.460022;937.219971
2010-01-29;937.929993;957.099976;937.929993;953.710022
2010-02-01;952.820007;967.770020;947.450012;967.770020
2010-02-02;967.530029;972.750000;963.729980;971.799988
2010-02-03;971.570007;974.950012;966.080017;970.000000
2010-02-04;969.590027;975.250000;948.210022;948.619995
2010-02-05;948.859985;951.479980;934.380005;935.890015
2010-02-08;939.919983;940.429993;920.289978;938.419983
2010-02-09;939.960022;951.890015;934.840027;944.799988
2010-02-10;948.599976;950.590027;931.390015;937.049988
2010-02-11;944.020020;949.900024;935.270020;943.659973
2010-02-12;951.200012;951.960022;924.929993;931.349976
2010-02-15;932.859985;935.400024;919.390015;923.369995
2010-02-16;929.900024;934.309998;922.750000;934.309998
2010-02-17;939.640015;945.270020;938.559998;943.690002
2010-02-18;944.190002;947.250000;940.869995;946.969971
2010-02-19;940.780029;957.450012;938.659973;957.270020
2010-02-22;958.969971;959.109985;951.479980;954.099976
2010-02-23;957.479980;958.599976;941.260010;942.049988
2010-02-24;943.150024;946.030029;936.250000;944.309998
2010-02-25;941.590027;950.719971;935.880005;940.510010
2010-02-26;946.190002;948.919983;939.289978;947.390015
2010-03-01;954.200012;967.469971;953.539978;966.380005
2010-03-02;965.929993;972.989990;961.570007;971.669983
2010-03-03;971.020020;981.570007;970.150024;981.190002
2010-03-04;977.869995;986.419983;974.989990;984.330017
2010-03-05;985.549988;999.650024;983.409973;998.070007
2010-03-08;1001.039978;1005.739990;998.520020;1003.390015
2010-03-09;1002.919983;1005.969971;994.929993;1000.500000
2010-03-10;999.979980;1013.280029;996.429993;1013.039978
2010-03-11;1007.609985;1013.200012;1005.479980;1008.929993
2010-03-12;1011.840027;1022.479980;1009.099976;1018.150024
2010-03-15;1017.340027;1019.349976;1012.640015;1013.510010
2010-03-16;1015.330017;1021.750000;1011.830017;1020.049988
2010-03-17;1024.020020;1028.530029;1023.030029;1025.579956
2010-03-18;1021.760010;1023.979980;1016.489990;1018.190002
2010-03-19;1021.130005;1027.729980;1017.140015;1020.260010
2010-03-22;1017.619995;1027.369995;1011.830017;1021.419983
2010-03-23;1023.080017;1030.170044;1021.900024;1030.130005
2010-03-24;1032.910034;1033.130005;1017.520020;1027.079956
2010-03-25;1026.089966;1036.300049;1024.920044;1033.339966
2010-03-26;1029.339966;1029.729980;1022.380005;1027.420044
2010-03-29;1030.520020;1034.150024;1024.300049;1026.699951
2010-03-30;1031.000000;1031.520020;1022.049988;1022.789978
2010-03-31;1022.590027;1024.680054;1016.260010;1021.080017
2010-04-01;1026.670044;1037.040039;1025.689941;1036.930054
2010-04-06;1038.979980;1046.250000;1036.949951;1046.000000
2010-04-07;1045.869995;1046.579956;1040.930054;1042.780029
2010-04-08;1040.199951;1040.199951;1028.469971;1036.729980
