;mean_test_f1_score;std_test_f1_score;param_scaler;param_sampling;param_feat__cols;param_svm__kernel;param_svm__C;param_svm__gamma
0;0.8882205973144004;0.015555062509646556;StandardScaler();Nosampler();Lasso;linear;0.1;0.1
1;0.8882205973144004;0.015555062509646556;StandardScaler();Nosampler();Lasso;linear;0.1;1
2;0.8882205973144004;0.015555062509646556;StandardScaler();Nosampler();Lasso;linear;0.1;10
62;0.8828371887962465;0.06242827371059534;StandardScaler();SMOTEENN();Tree;linear;10;10
57;0.8826370800576406;0.01495520067605377;StandardScaler();SMOTEENN();Tree;linear;1;0.1
61;0.8808415782673737;0.044359020127839044;StandardScaler();SMOTEENN();Tree;linear;10;1
19;0.8765149147114746;0.00742300345337904;StandardScaler();SMOTEENN();Lasso;linear;0.1;1
20;0.8759069862944143;0.027868673529632626;StandardScaler();SMOTEENN();Lasso;linear;0.1;10
60;0.860615870713682;0.07065245773206574;StandardScaler();SMOTEENN();Tree;linear;10;0.1
58;0.8598492884556463;0.04344781966739664;StandardScaler();SMOTEENN();Tree;linear;1;1
55;0.8590005979096728;0.03859168282402159;StandardScaler();SMOTEENN();Tree;linear;0.1;1
56;0.8561588071043101;0.04049270178366016;StandardScaler();SMOTEENN();Tree;linear;0.1;10
18;0.8499704037229392;0.02785765057570333;StandardScaler();SMOTEENN();Lasso;linear;0.1;0.1
54;0.8370403542817335;0.05349057073194996;StandardScaler();SMOTEENN();Tree;linear;0.1;0.1
73;0.3657476936279768;0.0013409139669598447;Normalizer();Nosampler();Lasso;rbf;1;1
