,precision,recall,f1-score,support
Neg. Trend,0.9793621013133208,0.951397326852977,0.9651771956856703,1646.0
Pos. Trend,0.9779066556199945,0.9907666480134303,0.9842946490618485,3574.0
accuracy,0.9783524904214559,0.9783524904214559,0.9783524904214559,0.9783524904214559
macro avg,0.9786343784666576,0.9710819874332036,0.9747359223737594,5220.0
weighted avg,0.9783655950091161,0.9783524904214559,0.9782664252577893,5220.0
