id;NormKurs50;NormKurs200;NumberRise50;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI9_diff;RSI14_diff;RSI3sign
200;0.90625;0.9582741981265966;0.52;0.535;-0.04045016987542446;-0.08197798697621746;-0.007124445806370504;-0.006623086134442721;60.97989199932836;61.91232857570565;6.340612498132664;3.8692379179103753;0.0
201;0.9266581632653058;0.9673573658813509;0.54;0.535;-0.04178107344632751;-0.08349929378531071;-0.0013309035709030484;-0.0015213068090932508;62.66668803380604;62.976519868947676;1.6867960344776876;1.0641912932420254;0.0
202;0.9451530612244888;0.9755889866590971;0.56;0.535;-0.0426555782648527;-0.08482134047501591;-0.0008745048185251902;-0.001322046689705203;64.22398548382763;63.9544288481913;1.5572974500215937;0.9779089792436296;0.0
203;1.0;1.0;0.58;0.535;-0.054380647852078315;-0.09675656888641752;-0.011725069587225606;-0.0119352284114016;72.79075770726595;69.76661393972533;8.56677222343832;5.812185091534027;0.0
204;1.0;1.0;0.6;0.535;-0.06193144273127733;-0.10499552588105744;-0.007550794879199019;-0.008238956994639932;77.16925388693542;73.11463926417187;4.378496179669469;3.348025324446553;0.0
205;0.9967051070840196;0.9984110169491524;0.6;0.53;-0.059230133590414236;-0.1040965431758712;0.002701309140863091;0.0008989827051862492;76.59061914719439;72.74991841982087;-0.5786347397410339;-0.3647208443510124;0.0
206;0.9917627677100492;0.9960275423728812;0.58;0.525;-0.05654654447736479;-0.10305071315372423;0.002683589113049445;0.0010458300221469763;75.64527324000191;72.17132247053823;-0.9453459071924896;-0.5785959492826294;0.0
207;0.9038208168642946;0.9613347457627116;0.58;0.525;-0.04562369628702505;-0.09442288972326526;0.010922848190339745;0.008627823430458953;63.05775894557683;64.20751504038736;-12.58751429442507;-7.9638074301508786;0.0
208;0.9410949410949416;0.9774894067796612;0.58;0.53;-0.047670151630547414;-0.09772450321955292;-0.002046455343522359;-0.003301613496287659;65.98615578225386;66.07516545071003;2.9283968366770448;1.867650410322668;0.0
209;1.0;1.0;0.58;0.535;-0.06145697167755959;-0.11212792755991301;-0.013786820047012177;-0.014403424340360071;74.87441351034155;72.29596533865914;8.888257728087678;6.220799887949113;0.0
210;1.0;1.0;0.58;0.535;-0.06153658039535353;-0.11350281910196346;-7.960871779393029e-05;-0.0013748915420504356;75.820044642329;73.01019730135738;0.9456311319874402;0.7142319626982356;0.0
211;0.9724938875305612;0.9886621315192741;0.58;0.535;-0.056683019896429224;-0.1101311665303899;0.0048535604989242845;0.0033716525715735274;71.72969349214186;70.3599665955873;-4.090351150187132;-2.6502307057700847;0.0
