id;NormKurs50;NormKurs200;NumberRise50;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI9_diff;RSI14_diff;RSI3sign
745;0.1579558652729384;0.7986111111111112;0.52;0.61;0.025251999614532037;-0.09972318589187669;0.010069908067589282;0.00983172795471822;30.253114556776087;37.063590352205374;-4.728896148187683;-3.7319824418826926;0.0
746;0.0196319018404904;0.7730758307299064;0.5;0.61;0.03273609628263597;-0.09189774822867185;0.007484096668103932;0.007825437663204843;27.185471291167993;34.521587529931125;-3.067643265608094;-2.542002822274249;0.0
747;0.13558282208588845;0.7968862620729421;0.5;0.61;0.023493147391199967;-0.09879682616013524;-0.009242948891436002;-0.006899077931463396;36.34411016858339;40.13899417032083;9.158638877415399;5.617406640389703;0.0
748;0.07423312883435465;0.7824708087069338;0.5;0.605;0.028523798018845366;-0.09316984778932176;0.0050306506276453986;0.005626978370813482;33.84168790766353;38.277414055613114;-2.5024222609198645;-1.8615801147077136;0.0
749;0.0;0.7464321752919129;0.5;0.605;0.04097432134996368;-0.08085057471264437;0.012450523331118311;0.012319273076677392;28.408314834745877;34.04774115803703;-5.43337307291765;-4.229672897576087;0.0
750;0.015918135304150146;0.7504685022343952;0.5;0.605;0.039434376984321055;-0.08087554339862325;-0.0015399443656426218;-2.496868597888502e-05;29.810689316772184;34.910827391318925;1.4023744820263069;0.8630862332818978;0.0
751;0.10574189880614061;0.7732449185526886;0.5;0.605;0.03138771751248129;-0.08668460084339176;-0.008046659471839766;-0.005809057444768506;37.48819270335637;39.68310572796726;7.677503386584185;4.772278336648334;0.0
752;0.1978396816372949;0.7965979530056223;0.5;0.61;0.02334631847256301;-0.09252801423556059;-0.008041399039918278;-0.005843413392168831;44.41484345485878;44.179188626884084;6.9266507515024145;4.496082898916825;0.0
753;0.24900511654349192;0.8095718610350299;0.52;0.61;0.019024086577599034;-0.09516927644495592;-0.004322231894963977;-0.002641262209395326;47.973383089557515;46.55071499045696;3.5585396346987324;2.371526363572876;0.0
754;0.2330869812393418;0.8055355340925475;0.5;0.605;0.020394150083912693;-0.09269695516662728;0.0013700635063136589;0.0024723212783286375;46.93470708543794;45.9006904162839;-1.0386760041195728;-0.6500245741730595;0.0
755;0.24673109721432646;0.8089952429003893;0.5;0.61;0.019196321662915076;-0.0924778485559657;-0.0011978284209976167;0.00021910661066157355;48.00681106606782;46.585670017603285;1.0721039806298762;0.6849796013193838;0.0
756;0.36327458783399735;0.8385469223007065;0.5;0.61;0.009352115348131428;-0.10004292354392012;-0.009844206314783648;-0.007565074987954418;56.37225864925487;52.13235864711781;8.365447583187049;5.546688629514527;0.0
757;0.3411028993746446;0.8329248954879631;0.48;0.61;0.01118555476360214;-0.09710810168686212;0.0018334394154707126;0.002934821857057998;54.518080246022514;51.05176908702957;-1.8541784032323534;-1.0805895600882423;0.0
758;0.3763501989766915;0.8418624765748883;0.48;0.61;0.00822286445255158;-0.09851092054768626;-0.0029626903110505608;-0.0014028188608241343;57.01545104515448;52.7209835245765;2.4973707991319642;1.669214437546934;0.0
759;0.3962478681068788;0.8469078852529911;0.48;0.61;0.006537697474222252;-0.09876880143789692;-0.0016851669783293274;-0.0002578808902106572;58.446599407538535;53.67645235189807;1.4311483623840573;0.9554688273215675;0.0
760;0.43263217737350834;0.8561337754072367;0.48;0.615;0.0035008959728381607;-0.10021809865132592;-0.0030368015013840914;-0.0014492972134289989;61.07941853298559;55.44070802849943;2.6328191254470568;1.7642556766013584;0.0
761;0.5071063104036392;0.8750180193167078;0.48;0.615;-0.002631110277920678;-0.10445165674649744;-0.006132006250758839;-0.004233558095171522;65.98147929341198;58.875605461963644;4.902060760426387;3.434897433464215;0.0
762;0.47754405912450276;0.8675219835663832;0.48;0.61;-0.0001428235846835834;-0.10100046981442398;0.0024882866932370946;0.003451186932073455;62.50906215036045;57.00666111820795;-3.47241714305153;-1.8689443437556932;0.0
763;0.45252984650369565;0.8611791840853396;0.48;0.605;0.0019584765312372792;-0.09790852596393836;0.0021013001159208627;0.003091943850485626;59.56202169679981;55.41196802472573;-2.947040453560639;-1.5946930934822205;0.0
764;0.0;0.6401902839844317;0.48;0.605;0.07847574588999438;-0.026795463771058233;0.0765172693587571;0.07111306219288012;21.083047978796774;27.106266787891943;-38.47897371800303;-28.305701236833787;0.0
765;0.23958333333333312;0.7263946951131615;0.48;0.61;0.04567615483108472;-0.0543863882596284;-0.032799591058909665;-0.02759092448857017;38.34652060480835;39.93087002124926;17.263472626011573;12.824603233357319;0.0
766;0.2512019230769226;0.7174603174603175;0.48;0.615;0.04311581017949398;-0.05448881239242752;-0.002560344651590739;-0.00010242413279911572;39.06477874069055;40.47501307658504;0.718258135882202;0.5441430553357804;0.0
767;0.3930288461538454;0.7667436489607389;0.48;0.615;0.024276668761177907;-0.06943448209193356;-0.018839141418316073;-0.014945669699506045;47.3793841652545;46.78027150247059;8.31460542456395;6.3052584258855475;0.0
768;0.3922275641025641;0.7553620383809064;0.48;0.61;0.023423406003770988;-0.06814134480591726;-0.0008532627574069189;0.0012931372860163076;47.33883564147646;46.750295211398075;-0.04054852377804252;-0.029976291072514982;0.0
769;0.3141025641025634;0.708942536552193;0.46;0.605;0.031990044895569655;-0.0581785574858486;0.008566638891798668;0.009962787320068653;43.32223548151549;43.81719076321129;-4.016600159960966;-2.933104448186782;0.0
770;0.2291666666666668;0.6637539321915418;0.44;0.6;0.04117455621301831;-0.04735724852071062;0.009184511317448657;0.010821308965137985;39.29474734046271;40.83304898059483;-4.027488141052778;-2.9841417826164616;0.0
771;0.1528028933092224;0.6223972003499566;0.42;0.595;0.05117529681732045;-0.03534794971565453;0.010000740604302137;0.012009298805056086;35.27309547984279;37.7894416712885;-4.021651860619926;-3.0436073093063314;0.0
772;0.1939421338155514;0.6380668884608651;0.44;0.595;0.04468788796742352;-0.03880145999900731;-0.006487408849896931;-0.0034535102833527787;38.01431854582739;39.663343384867325;2.741223065984606;1.8739017135788245;0.0
773;0.120253164556962;0.6095254771493611;0.44;0.59;0.05140482627415677;-0.03008761389806796;0.006716938306733249;0.008713846100939351;35.059260641365384;37.495767114781565;-2.9550579044620093;-2.1675762700857604;0.0
