id;NormKurs50;NormKurs200;NumberRise50;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI9_diff;RSI14_diff;Stoch_Sk1383;Stoch_Sd1383;Stoch_Sk533;Stoch_Sd533;Stoch_Sk2177;Stoch_Sd2177;Stoch_Sk211414;Stoch_Sd211414;Stoch_Sk31414;Stoch_Sd31414;MACD_12_26_9;MACDS_12_26_9;MACD_5_35_5;MACDS_5_35_5;MACD_12_26_9Diff;MACDS_12_26_9Diff;MACD_5_35_5Diff;MACDS_5_35_5Diff;MACD_12_26_9DiffDirChange;MACDS_12_26_9DiffDirChange;MACD_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;week_of_year;day_of_year;day_of_month;day_week__0;day_week__1;day_week__2;day_week__3;day_week__4;month_year__1;month_year__2;month_year__3;month_year__4;month_year__5;month_year__6;month_year__7;month_year__8;month_year__9;month_year__10;month_year__11;month_year__12;week_month__1;week_month__2;week_month__3;week_month__4;week_month__5;week_month__6
200;1.0;1.0;0.62;0.59;-0.06844833505282973;-0.08174200856981073;5.881795907432264e-05;-0.00112077120387874;79.58916733756656;73.03997099605499;0.6418191486122709;0.5605801087021121;95.95340200057535;91.7452254816552;90.19980134298555;90.19980134298555;85.21755415906726;85.21755415906726;54.63010480068058;54.63010480068058;54.63010480068058;54.63010480068058;25.467432309869768;16.093029890219125;64.06757766998089;49.67073844621893;3.2944866061084213;2.3436006049126608;6.686215459946653;7.198419611880978;0.0;0.0;0.0;0.0;43;295;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
201;0.9898930114879786;0.9919776856398548;0.62;0.59;-0.06456315088785095;-0.0795288441207299;0.0038851841649787814;0.0022131644490808178;77.98100503139179;72.08222847991662;-1.6081623061747619;-0.9577425161383673;94.97794770963938;94.46339721866302;90.63521040671179;90.63521040671179;89.36993357243185;89.36993357243185;55.63433145800824;55.63433145800824;55.63433145800824;55.63433145800824;27.570893162976066;18.388602544770514;66.43820929902199;55.25989539715328;2.1034608531062986;2.295572654551389;2.3706316290411;5.589156950934354;0.0;0.0;0.0;0.0;43;296;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
202;1.0;1.0;0.64;0.59;-0.0677683052627927;-0.08454788356282608;-0.0032051543749417604;-0.005019039442096168;80.09386360926388;73.82104497361463;2.1128585778720748;1.7388164936979962;95.2064605467801;95.37927008566498;90.23262518117001;90.23262518117001;92.1844441688057;92.1844441688057;57.410412133415825;57.410412133415825;57.410412133415825;57.410412133415825;29.79097219987739;20.66907647579189;69.78659894880661;60.10212991437106;2.2200790369013252;2.2804739310213757;3.3483896497846217;4.8422345172177765;0.0;0.0;0.0;0.0;43;297;24;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
203;1.0;1.0;0.64;0.59;-0.07066585861464679;-0.08907525654456135;-0.002897553351854085;-0.004527372981735278;81.88766365255744;75.3490971518773;1.793800043293558;1.5280521782626693;95.85747542831402;95.34729456157787;89.32604465884516;89.32604465884516;94.19833473200443;94.19833473200443;59.680191469495284;59.680191469495284;59.680191469495284;59.680191469495284;32.014105471525234;22.93808227493856;73.46918569221157;64.55781517365122;2.223133271647839;2.269005799146669;3.6825867434049533;4.455685259280166;0.0;0.0;0.0;0.0;43;298;25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
204;1.0;1.0;0.64;0.59;-0.07501954884869484;-0.09494748316097626;-0.004353690234048052;-0.005872226616414913;83.91763326188438;77.1505383947653;2.0299696093269404;1.801441242888032;96.17149977275469;95.74514524928296;92.64531911589428;92.64531911589428;95.34483964017357;95.34483964017357;62.580303259948685;62.580303259948685;62.580303259948685;62.580303259948685;34.42887899806942;25.23624161956473;78.04120261042543;69.05227765257597;2.4147735265441947;2.2981593446261708;4.572016918213876;4.494462478924746;0.0;0.0;0.0;0.0;44;301;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
205;0.9248721842295534;0.9409831435958792;0.64;0.585;-0.0630813841696096;-0.08482245028778429;0.01193816467908525;0.010125032873191971;71.58996441336177;69.61350786802629;-12.32766884852262;-7.537030526739031;94.74322179809728;95.59073233305536;88.86178959150743;88.86178959150743;95.00919250848268;95.00919250848268;65.93864991186675;65.93864991186675;65.93864991186675;65.93864991186675;34.493334951936504;27.087660286039085;74.47741886244125;70.86065805586439;0.06445595386708193;1.8514186664743555;-3.5637837479841887;1.8083804032884243;0.0;0.0;-1.0;0.0;44;302;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
206;0.9436231716331612;0.9557130318494588;0.64;0.585;-0.06316156958883154;-0.08638452626119207;-8.018541922194533e-05;-0.001562075973407795;72.7020510450415;70.38712918488724;1.1120866316797446;0.7736213168609538;92.05245666320428;94.32239274468544;77.20838943517793;77.20838943517793;93.93713843135909;93.93713843135909;69.62772520362907;69.62772520362907;69.62772520362907;69.62772520362907;34.50893384511528;28.571914997854325;72.1015971718134;71.2743044278474;0.015598893178776054;1.4842547118152396;-2.3758216906278453;0.4136463719830061;0.0;0.0;-0.6;0.0;44;303;30;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
207;0.8887914650894029;0.9126398382752772;0.64;0.585;-0.05378031488848147;-0.07869162715475299;0.009381254700350068;0.007692899106439083;64.49884045501906;65.18738182232092;-8.203210590022438;-5.199747362566328;84.98057133750595;90.59208326626921;54.6854532143414;54.6854532143414;91.94254089679896;91.94254089679896;73.10281108379381;73.10281108379381;73.10281108379381;73.10281108379381;33.08048319053887;29.473628636391233;65.62327106712519;69.39062664094;-1.4284506545764089;0.9017136385369078;-6.478326104688223;-1.8836777869073984;-1.0;0.0;-0.36;-1.0;44;304;31;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
208;0.9047855963534444;0.9252040708226836;0.66;0.59;-0.05339515398820618;-0.07991848080921267;0.0003851609002752873;-0.0012268536544596806;65.751311033487;65.972988056257;1.252470578467921;0.7856062339360791;79.54984581017452;85.52762460362828;40.1773471683919;40.1773471683919;89.13972680631686;89.13972680631686;76.32602328673468;76.32602328673468;76.32602328673468;76.32602328673468;31.889864686918827;29.95687584649675;61.392955907374926;66.72473639641831;-1.190618503620044;0.4832472101055174;-4.230315159750262;-2.665890244521691;-0.6;0.0;-0.21600000000000003;-0.6;44;305;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
209;1.0;1.0;0.68;0.595;-0.06848615240504177;-0.09644185945364324;-0.015090998416835588;-0.016523378644430556;74.49985241543641;71.9159355139094;8.748541381949407;5.9429474576524095;80.6329896918689;81.72113561318315;38.965535107187314;38.965535107187314;86.23009777873942;86.23009777873942;79.26567773813677;79.26567773813677;79.26567773813677;79.26567773813677;33.26758829021446;30.619018335240288;66.90363393813618;66.78436891032426;1.3777236032956353;0.662142488743541;5.510678030761255;0.059632513905953026;1.0;0.0;1.0;1.0;45;308;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
