id;NormKurs5;NormKurs200;NumberRise200;MA50Norm;MA200Norm;MA50NormDiff;MA200NormDiff;RSI_9;RSI_14;RSI2_diff;RSI3_diff;RSI5_diff;RSI9_diff;RSI10_diff;RSI14_diff;RSI20_diff;RSI25_diff;Stoch_Sk1383;Stoch_Sd1383;Stoch_Sk533;Stoch_Sd533;Stoch_Sk2177;Stoch_Sd2177;Stoch_Sk211414;Stoch_Sd211414;Stoch_Sk31414;Stoch_Sd31414;MACD_12_26_9;MACDS_12_26_9;MACD_5_35_5;MACDS_5_35_5;MACD_12_26_9Diff;MACDS_12_26_9Diff;MACD_5_35_5Diff;MACDS_5_35_5Diff;MACD_12_26_9DiffDirChange;MACDS_12_26_9DiffDirChange;MACD_5_35_5DiffDirChange;MACDS_5_35_5DiffDirChange;week_of_year;day_of_year;day_of_month;day_week__0;day_week__1;day_week__2;day_week__3;day_week__4;month_year__1;month_year__2;month_year__3;month_year__4;month_year__5;month_year__6;month_year__7;month_year__8;month_year__9;month_year__10;month_year__11;month_year__12;week_month__1;week_month__2;week_month__3;week_month__4;week_month__5;week_month__6
14;0.0;;;;;;;25.7132155414865;18.435620159673988;-18.583237497550947;-15.986835317321159;-9.673209897493557;-3.5634286433963247;-2.8825254499945814;-1.4146048929651052;-0.6477280539001935;-0.3965997818923199;69.38857185730001;;62.49285729952095;62.49285729952095;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;23;23;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;0.5770107997230011;;;;;;;35.07912243004409;24.578726027422306;32.14022464853977;23.23723785294669;15.332363628964679;9.36590688855759;8.507463369619419;6.143105867748318;4.251790862015456;3.3566029754208238;70.2140898981053;;45.56173245852176;45.56173245852176;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;4;24;24;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
16;0.0;;;;;;;26.322113438117615;20.62593692990732;-32.9361731781264;-27.201636445112413;-18.78304949504348;-8.757008991926472;-7.344725033062293;-3.9527890975149873;-1.9257883313467232;-1.2086698812453829;66.36227140185433;68.65497771908655;32.09512373015928;32.09512373015928;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;27;27;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
17;0.3594391452201272;;;;;;;33.00175789781582;25.2552200079376;18.971880026905353;14.597235718730978;10.284311427527562;6.679644459698206;6.146070245836967;4.62928307803028;3.332033302847904;2.6817904072709986;57.91393751945303;64.83009960647088;29.311710812278648;29.311710812278648;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;28;28;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18;0.4880364020339779;;;;;;;35.33235423694435;26.889713395716726;6.809162453773851;5.110797033916356;3.5544110170585057;2.330596339128526;2.150748047308422;1.634493387779127;1.184625456288103;0.9561243370890136;51.59250984155145;58.62290625428627;31.279382449221064;31.279382449221064;63.40461595360368;63.40461595360368;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;29;29;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
19;0.3983558760798503;;;;;;;34.404992750743524;26.457419161143076;-5.175039851261538;-3.3756917371190696;-2.0027303608924214;-0.927361486200823;-0.7835963861917818;-0.43229423457365;-0.21467896358886662;-0.13569239416883505;45.6026570671707;51.70303480939172;41.44502491776091;41.44502491776091;58.48304661880411;58.48304661880411;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;30;30;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
20;0.5834567934009548;;;;;;;33.17922031527909;25.892431409815647;-7.279177071631445;-4.693460836264933;-2.709775830736959;-1.2257724354644353;-1.0325979810438994;-0.5649877513274291;-0.2785968738342355;-0.17542816182636045;37.86123599544575;45.01880096805596;47.67953252546971;47.67953252546971;52.637514308343476;52.637514308343476;;;;;;;;;;;;;0.0;0.0;0.0;0.0;5;31;31;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
21;0.0;;;;;;;33.08170368825796;25.84839283493563;-0.6620846181520861;-0.40970943485558564;-0.2247470446203934;-0.09751662702112895;-0.08169286558619504;-0.04403857488001606;-0.021456350634657895;-0.013430058639350761;34.15374665649894;39.20587990637179;49.17477853781046;49.17477853781046;47.43964779632653;47.43964779632653;;;;;;;;;;;;;0.0;0.0;0.0;0.0;6;34;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22;1.0;;;;;;;50.6427246731889;38.13182070415189;49.076137989164536;38.53324117017267;27.006464891197673;17.56102098493094;16.19331130252098;12.283427869216261;8.872085000901723;7.136220009030751;42.02500133010403;38.01332799401624;49.84592704138379;49.84592704138379;42.82759523462596;42.82759523462596;;;;;;;;;;;;;0.0;0.0;0.0;0.0;6;35;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;1.0;;;;;;;58.90982667206962;44.88190754032807;7.050417947855735;8.769593063610131;9.286887027969286;8.267101998880719;7.956056786942767;6.75008683617618;5.293509041159506;4.4142178199061775;46.085301373900926;40.75468312016796;57.52831994148253;57.52831994148253;41.856304388380444;41.856304388380444;;;;;;;;;;;;;0.0;0.0;0.0;0.0;6;36;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24;1.0;;;;;;;60.20469933637539;45.98585503108542;0.9320713394214266;1.2057157204162792;1.3570113141909275;1.294872664305771;1.2603767716016776;1.1039474907573492;0.8876496346378886;0.7485133383912306;56.16760974977088;48.092637484591954;74.23129524204718;74.23129524204718;43.179124814138106;43.179124814138106;;;;;;;;;;;;;0.0;0.0;0.0;0.0;6;37;6;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
25;0.9697281501656498;;;;;;;59.26192856370111;45.541825711774074;-6.028838135203031;-3.843606334773412;-2.108571259199806;-0.9427707726742796;-0.797815725801513;-0.4440293193113476;-0.22141367838254666;-0.13958495653998426;62.67594509380268;54.97628540582483;83.00224011788619;83.00224011788619;46.281618288717894;46.281618288717894;;;;;12.95617735071346;;;;;;;;0.0;0.0;0.0;0.0;6;38;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26;1.0;;;;;;;61.84742000680773;47.65115178050596;3.9190424103147024;3.4367333675309197;3.060392576407679;2.585491443106619;2.4839994493904456;2.109326068731889;1.6601859930650065;1.386217388641434;69.33510166388308;62.726218835818884;83.25056653652872;83.25056653652872;51.70197946579115;51.70197946579115;;;;;15.229037927921127;13.410749466154993;;;2.272860577207666;;;;0.0;0.0;0.0;0.0;7;41;10;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
27;1.0;;;;;;;68.88977045591304;53.80507933275693;5.844009751332209;6.5951076660408745;7.220544259732421;7.042350449105307;6.895513066539408;6.15392755225097;5.024169973042525;4.262392100879342;77.3447480804999;69.78526494606187;79.21584128937475;79.21584128937475;59.02531932098686;59.02531932098686;;;;;18.920663702908087;14.512732313505612;;;3.69162577498696;1.1019828473506195;;;0.0;0.0;0.0;0.0;7;42;11;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
28;1.0;;;;;;;70.20409967013883;55.02348171918366;0.6819387896856028;0.9267252119373097;1.195341123814032;1.3143292142257934;1.307944135112777;1.2184023864267246;1.0269664061008754;0.8834731120867687;85.9703142094276;77.55005465127017;80.95355411792514;80.95355411792514;67.49462859690921;67.49462859690921;;;;;22.045661689545796;16.019318188713648;;;3.124997986637709;1.5065858752080352;;;0.0;0.0;0.0;0.0;7;43;12;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
29;0.8312866014214315;;;;;;;66.46775207634757;53.22240553737562;-21.046761186739104;-14.250165173135343;-8.120964840330572;-3.7363475937912654;-3.1801124516774024;-1.8010761818080354;-0.9091424140212396;-0.5749712658548702;93.0372164407939;85.4507595769071;84.58487706919671;84.58487706919671;74.76892774982636;74.76892774982636;;;;;23.70592482221582;17.556639515414084;;;1.6602631326700248;1.537321326700436;;;0.0;0.0;0.0;0.0;7;44;13;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
30;0.8699211023622052;;;;;;;67.21669786510704;53.847716199061814;2.7815790472272397;1.5746861242822803;0.9835451586440058;0.748945788759471;0.7206089075845483;0.6253106616861928;0.50708681850071;0.42993683971425156;91.81046568107045;90.27266544376396;84.25876683297172;84.25876683297172;80.14869635177475;80.14869635177475;;;;;24.943953204538957;19.03410225323906;;;1.2380283823231366;1.4774627378249754;;;0.0;0.0;0.0;0.0;7;45;14;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
31;0.7919720415217001;;;;;;;68.0492598572244;54.53150534219686;3.3036271054946553;1.8527472338793984;1.1264412289930874;0.8325619921173626;0.7975480065476575;0.6837891431350442;0.548995279085716;0.4630982560873562;90.61574104722467;91.82114105636298;79.08265580453177;79.08265580453177;84.34403506323956;84.34403506323956;;;;;25.847433148472646;20.396768432285775;;;0.9034799439336894;1.362666179046716;;;0.0;0.0;0.0;0.0;8;48;17;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
32;0.0;;;;;;;61.92975680907249;51.659797005443735;-35.901437577130665;-24.828520959690195;-13.876920756309104;-6.119503048151913;-5.172281749879744;-2.871708336753123;-1.423733331697811;-0.8913736824552387;87.90211858854252;90.10944177227918;70.09026861149657;70.09026861149657;87.22995423210484;87.22995423210484;;;;;25.498114105703053;21.41703756696923;;;-0.3493190427695936;1.0202691346834563;;;-1.0;0.0;0.0;0.0;8;49;18;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
33;1.0;;;;;;;68.91238382575283;57.100883135468095;32.6335772350175;20.406096248378162;11.24017984795654;6.98262701668034;6.563956229618512;5.44108613002436;4.330880563927835;3.6531339308020847;89.6578525806927;89.39190407215325;66.27274440565323;66.27274440565323;89.02782460147832;89.02782460147832;;;;;26.64815549264199;22.463261152103783;;;1.1500413869389376;1.0462235851345518;;;1.0;0.0;0.0;0.0;8;50;19;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
34;0.9371812178600324;;;;;;;68.0413141611484;56.671549460748054;-4.165340185435667;-2.9719168049035147;-1.806345988393744;-0.8710696646044198;-0.7460906959989018;-0.42933367472004136;-0.2184030443210787;-0.1381082137997467;88.70273445601387;88.75423520841632;65.90860155287798;65.90860155287798;89.21223881870345;89.21223881870345;;;;;27.13781207223633;23.398171336130293;65.59514367772954;;0.48965657959433884;0.9349101840265099;;;0.6;0.0;0.0;0.0;8;51;20;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
