Date;Open;High;Low;Close
2015-12-30;1453.189941;1455.420044;1442.170044;1446.819946
2016-01-04;1441.339966;1441.339966;1394.270020;1394.390015
2016-01-05;1398.000000;1410.469971;1384.050049;1387.030029
2016-01-07;1379.660034;1379.660034;1326.699951;1357.119995
2016-01-08;1359.099976;1379.949951;1348.760010;1348.760010
2016-01-11;1348.229980;1362.040039;1342.680054;1348.640015
2016-01-12;1348.420044;1369.050049;1345.670044;1351.260010
2016-01-13;1352.609985;1377.869995;1352.609985;1360.979980
2016-01-14;1359.079956;1359.079956;1326.709961;1339.469971
2016-01-15;1339.640015;1348.510010;1296.920044;1305.239990
2016-01-18;1306.560059;1322.589966;1300.540039;1306.020020
2016-01-19;1311.719971;1341.729980;1311.719971;1332.170044
2016-01-20;1332.170044;1332.170044;1289.400024;1290.949951
2016-01-21;1290.239990;1319.810059;1283.130005;1312.599976
2016-01-22;1320.140015;1364.239990;1320.140015;1361.359985
2016-01-25;1362.349976;1367.810059;1345.550049;1354.410034
2016-01-26;1351.420044;1376.119995;1332.400024;1375.739990
2016-01-27;1377.469971;1377.469971;1353.640015;1365.589966
2016-01-28;1360.609985;1366.760010;1328.280029;1333.319946
2016-01-29;1339.329956;1359.920044;1335.930054;1356.319946
2016-02-01;1357.130005;1365.900024;1335.140015;1342.430054
2016-02-02;1340.180054;1340.380005;1314.189941;1320.290039
2016-02-03;1320.540039;1331.619995;1295.500000;1305.489990
2016-02-04;1310.900024;1334.829956;1304.829956;1333.719971
2016-02-05;1333.660034;1347.459961;1322.680054;1330.109985
2016-02-08;1330.900024;1339.599976;1273.270020;1273.949951
2016-02-09;1274.589966;1288.520020;1253.630005;1271.449951
2016-02-10;1272.160034;1306.170044;1272.109985;1297.819946
2016-02-11;1296.339966;1296.339966;1247.060059;1247.060059
2016-02-12;1248.280029;1286.670044;1248.280029;1286.670044
2016-02-15;1290.619995;1336.170044;1290.619995;1336.170044
2016-02-16;1336.170044;1349.869995;1323.589966;1328.140015
2016-02-17;1329.729980;1374.250000;1329.729980;1374.250000
2016-02-18;1374.250000;1381.530029;1359.829956;1362.979980
2016-02-19;1363.010010;1370.439941;1349.500000;1355.949951
2016-02-22;1357.319946;1385.739990;1357.319946;1385.739990
2016-02-23;1385.160034;1385.800049;1366.510010;1366.530029
2016-02-24;1366.910034;1368.890015;1324.459961;1327.849976
2016-02-25;1328.239990;1360.969971;1328.239990;1360.969971
2016-02-26;1363.760010;1378.770020;1363.459961;1370.800049
2016-02-29;1370.800049;1374.569946;1345.170044;1372.540039
2016-03-01;1372.540039;1392.020020;1356.569946;1391.449951
2016-03-02;1392.199951;1401.770020;1373.339966;1383.709961
2016-03-03;1385.459961;1394.479980;1384.170044;1389.449951
