,precision,recall,f1-score,support
Neg. Trend,0.987603305785124,1.0,0.9937629937629938,239.0
Pos. Trend,1.0,0.9907692307692307,0.9953632148377125,325.0
accuracy,0.9946808510638298,0.9946808510638298,0.9946808510638298,0.9946808510638298
macro avg,0.993801652892562,0.9953846153846153,0.9945631043003531,564.0
weighted avg,0.994746790926675,0.9946808510638298,0.9946851069709434,564.0
